timestamp,track_id,status,EAR,MAR
1758691173.6901283,2,Binh thuong,0.2742,0.2516
1758691174.2029734,2,Binh thuong,0.2764,0.2448
1758691174.7141428,2,Binh thuong,0.2603,0.1765
1758691175.2271295,2,Binh thuong,0.2702,0.5688
1758691175.739855,2,Binh thuong,0.2748,0.5687
1758691176.2493622,2,Binh thuong,0.2773,0.5738
1758691176.7627106,2,Binh thuong,0.2650,0.5098
1758691177.2746418,2,Binh thuong,0.2631,0.4887
1758691177.7784162,2,Binh thuong,0.2685,0.5896
1758691178.2857175,2,Binh thuong,0.2777,0.5854
1758691178.7964308,2,Binh thuong,0.2828,0.5105
1758691179.310223,2,Binh thuong,0.2625,0.3837
1758691179.8226845,2,Binh thuong,0.2996,0.0271
1758691180.336927,2,Binh thuong,0.3025,0.0290
1758691180.8438985,2,Binh thuong,0.2736,0.0214
1758691181.3463287,2,Binh thuong,0.2766,0.0215
1758691181.8573623,2,Binh thuong,0.2838,0.0246
1758691182.362945,2,Binh thuong,0.2855,0.0290
1758691182.8648388,2,Binh thuong,0.2830,0.0310
1758691183.375565,2,Binh thuong,0.2760,0.0309
1758691183.882383,2,Binh thuong,0.2845,0.0283
1758691184.3876083,2,Binh thuong,0.2845,0.0283
1758691184.9006543,2,Binh thuong,0.2751,0.0422
1758691185.407683,2,Binh thuong,0.2492,0.0375
1758691185.914272,2,Binh thuong,0.2617,0.0314
1758691186.2607205,1,Binh thuong,0.2903,0.0145
1758691186.4171295,2,Binh thuong,0.3178,0.1150
1758691186.770369,1,Binh thuong,0.2337,0.0256
1758691187.2824693,1,Binh thuong,0.2420,0.0223
1758691187.7853203,1,Binh thuong,0.2418,0.0187
1758691188.2963417,1,Binh thuong,0.2415,0.0260
1758691188.804581,1,Binh thuong,0.2347,0.0272
1758691189.316452,1,Binh thuong,0.2487,0.0263
1758691189.82856,1,Binh thuong,0.2416,0.0275
1758691190.340456,1,Binh thuong,0.2261,0.0254
1758691190.8438342,1,Binh thuong,0.2277,0.0295
1758691191.352856,1,Binh thuong,0.2305,0.0315
1758691191.8601394,1,Binh thuong,0.2252,0.0330
1758691192.3690944,1,Binh thuong,0.2149,0.0265
1758691192.8764827,1,Binh thuong,0.2164,0.0289
1758691193.386961,1,Binh thuong,0.2235,0.0263
1758691193.9006145,1,Binh thuong,0.2168,0.0327
1758691194.4033563,1,Binh thuong,0.2250,0.0337
1758691194.9179652,1,Binh thuong,0.2025,0.0325
1758691195.4299717,1,Binh thuong,0.3054,0.0285
1758691195.9370923,1,Binh thuong,0.2959,0.0220
1758691196.441426,1,Binh thuong,0.3118,0.0284
1758691196.9523013,1,Binh thuong,0.3126,0.0351
1758691197.4523215,1,Binh thuong,0.2787,0.0294
1758691197.9652925,1,Binh thuong,0.3449,0.0077
1758691198.4789436,1,Binh thuong,0.3312,0.0291
1758691198.9814062,1,Binh thuong,0.2493,0.4570
1758691199.48925,1,Binh thuong,0.2435,0.5474
1758691199.9931862,1,Binh thuong,0.2982,0.5496
1758691200.496104,1,Binh thuong,0.3026,0.5614
1758691201.0090091,1,Binh thuong,0.3041,0.5017
1758691201.520979,1,Binh thuong,0.3576,0.0396
1758691202.029669,1,Binh thuong,0.2530,0.0114
1758691202.530032,1,Binh thuong,0.2491,0.0230
